POB,Kids,Married,FSES,YNatStat,EdArea,EdAchv,Occ,School,RelBack,SocBG,Region,AgeJoin,Cjoin,PlJoin,risk
47,0,0,0,2,1,0,0,4,1,1,4.4,19,47,1,2
47,0,0,0,2,5,2,0,4,1,0,4.4,27,47,1,2
3,,1,1,1,,,0,,2,3,1.3,30,24,1,2
3,1,1,1,1,1,0,0,4,2,3,1.3,48,47,1,3
47,1,1,0,2,5,2,1,4,2,0,4.4,24,47,0,2
126,1,1,2,1,,,1,4,2,0,3.5,34,119,1,2
68,,,,2,,,,,,,3.5,36,119,1,2
126,1,1,2,1,5,4,3,4,2,0,3.5,35,119,1,2
126,1,1,,1,,2,1,4,2,0,3.5,48,119,1,2
126,,,,1,,,1,4,2,0,3.5,,119,1,2
126,,,,1,,,,4,2,,3.5,28,16,1,2
126,,1,,1,,,0,4,2,,3.5,,1,1,2
119,1,1,2,0,,,0,2,1,0,4.3,31,119,0,2
86,1,1,1,1,1,1,0,4,2,1,1.3,26,16,1,2
86,,,1,1,1,1,0,4,2,1,1.3,20,16,1,2
86,,,1,1,1,1,0,4,2,1,1.3,20,119,1,2
86,1,1,,1,2,2,3,4,2,0,1.3,30,119,1,2
86,,,,1,,4,1,4,2,,1.3,,119,1,2
86,,,,1,,,,4,2,,1.3,,119,1,2
86,,,,1,,,,4,2,,1.3,,119,1,2
47,1,1,1,3,1,1,0,4,0,0,4.4,24,133,1,2
86,1,1,1,1,1,1,3,4,0,0,1.3,18,86,0,3
86,0,0,,1,,,0,,,0,1.3,24,86,0,2
86,,,0,1,1,0,0,4,2,1,1.3,24,86,0,2
86,,,,1,1,0,0,4,2,1,1.3,20,86,0,2
86,1,1,1,1,2,2,0,4,2,0,1.3,25,86,0,2
86,1,1,1,1,2,6,3,4,0,0,1.3,44,86,0,3
86,,,1,1,1,1,0,4,0,,1.3,,86,0,2
86,,,,1,1,1,3,4,2,,1.3,,86,0,3
86,1,1,1,1,2,8,3,4,2,0,1.3,,86,0,3
86,,1,1,1,,,0,4,2,,1.3,,86,0,2
86,0,0,0,1,1,0,0,0,2,0,1.3,,86,0,1
86,0,0,1,1,5,4,3,4,2,0,1.3,21,86,0,1
86,0,0,0,1,4,2,0,4,2,0,1.3,23,86,0,1
86,0,0,0,1,1,1,0,4,2,0,1.3,23,86,0,1
86,0,0,0,1,1,0,0,4,2,0,1.3,,86,0,2
86,,,0,1,1,0,0,4,2,,1.3,,86,0,2
86,,,,1,1,0,0,4,2,,1.3,,86,0,2
86,1,1,1,1,4,4,1,4,2,0,1.3,27,86,0,1
86,0,0,1,1,1,0,0,4,2,0,1.3,18,86,0,2
3,0,1,1,1,4,2,0,4,2,0,1.3,22,1,1,2
86,0,1,1,1,2,4,3,4,2,0,1.3,20,1,1,2
126,1,1,1,1,,,3,4,2,0,3.5,27,1,1,2
68,1,1,1,2,1,1,0,4,2,0,3.5,24,1,1,2
137,1,1,2,2,5,4,0,4,2,0,2.5,21,1,1,2
110,,,2,2,1,1,0,4,2,0,3.5,21,8,1,2
98,,,1,2,1,0,0,0,0,0,3.3,14,1,1,2
3,,1,1,1,5,4,1,4,2,0,1.3,,47,1,2
68,,,2,2,,,,4,2,0,3.5,29,48,1,2
41,1,1,1,1,5,4,0,4,2,0,1.3,32,121,1,2
41,1,1,1,1,5,4,0,4,2,0,1.3,29,1,1,2
132,0,0,1,1,,2,0,4,2,0,1.3,30,24,1,2
137,,,1,1,1,1,0,4,1,,2.5,31,136,1,2
106,1,1,1,1,5,5,1,4,2,0,3.5,,,1,2
3,1,1,1,1,5,4,1,4,2,0,1.3,47,119,1,2
98,1,1,1,1,,,0,4,2,0,3.3,31,137,1,2
41,1,1,1,1,5,4,3,4,2,0,1.3,50,1,1,2
110,1,1,2,1,5,4,3,4,2,0,3.5,34,1,1,3
8,1,1,0,1,1,0,0,4,1,,5.1,23,16,1,2
41,1,1,1,1,5,2,0,4,2,0,1.3,44,8,1,2
81,,,1,1,2,4,0,0,0,0,3.4,19,98,1,2
140,1,1,1,3,1,1,0,4,2,0,3.5,34,137,1,2
86,,,,1,1,1,0,4,2,,1.3,20,1,1,2
3,,,,1,,,,4,2,,1.3,,,,2
60,,,1,1,0,1,2,1,0,0,3.4,21,60,0,2
60,,,1,1,0,2,2,0,0,,3.4,,60,0,2
114,,,,1,5,4,3,4,,,3.4,,114,0,1
81,,,,,0,4,1,4,,,3.4,,,0,2
114,,,,1,5,3,2,4,,,3.4,,114,0,2
114,,,,1,0,0,1,4,,,3.4,,114,0,2
114,,,,1,2,1,1,1,,,3.4,,114,0,2
114,,,,1,1,1,1,4,,,3.4,,114,0,1
114,,,,1,5,4,3,1,,,3.4,,114,0,2
114,,,,1,0,0,3,4,,,3.4,,114,0,1
114,,,,1,5,3,1,1,,,3.4,32,114,0,2
114,,,,1,1,1,1,4,,,3.4,,114,0,1
114,,,,1,1,1,0,4,,,3.4,,114,0,1
114,,,,1,5,3,1,4,,,3.4,,114,0,1
114,,,,1,5,3,1,4,,,3.4,,114,0,1
114,,,,1,5,4,3,4,,,3.4,,114,0,1
114,,,,1,,,,,,,3.4,,114,0,1
114,,,,1,5,3,0,4,,,3.4,,114,0,1
114,,,,1,0,0,0,1,,,3.4,,114,0,1
114,,,,1,0,0,0,4,,,3.4,,114,0,1
114,,,,1,0,0,0,4,,,3.4,,114,0,1
114,,,,1,5,3,0,1,,,3.4,,114,0,1
114,,,,1,5,3,2,4,,,3.4,,114,0,3
114,,,,1,1,1,0,4,,,3.4,,114,0,1
114,,,,1,5,3,0,4,,,3.4,,114,0,1
103,,,,1,,,1,,,,3.4,,103,0,3
60,,,,1,2,1,2,1,,,3.4,,60,0,1
60,,,,1,1,0,0,4,,,3.4,,60,0,
60,,,,1,0,0,,,,,3.4,,60,0,
60,,,,1,0,1,0,1,0,,3.4,,60,0,2
60,,,,1,0,0,0,0,,,3.4,,60,0,
60,,,,1,,,,,,,3.4,,60,0,
60,,,,1,,,,,,,3.4,,60,0,
60,,,,1,,,0,1,,,3.4,,60,0,
60,,,,1,1,0,,,,,3.4,,60,0,
60,,,,1,1,0,0,0,,,3.4,,60,0,
60,,,,1,,,,,,,3.4,,60,0,
81,,,,,,,,,,,3.4,,,0,
81,,,,,,,,,,,3.4,,,,1
,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,
60,,,,1,0,1,0,0,,,3.4,,60,0,
114,,,,1,5,4,1,4,,,3.4,,114,0,3
114,,,,1,5,3,0,4,,,3.4,,114,0,2
114,,,,1,2,4,2,4,,,3.4,,114,0,3
110,,,,,,,0,,,,3.5,,,,1
60,,,,1,1,1,1,0,,,3.4,,60,0,
60,,,,1,,,,,,,3.4,,60,0,
60,,,,1,,,,,,,3.4,,60,0,
60,1,1,1,1,5,2,0,0,,,3.4,,60,0,
60,1,1,1,1,1,1,0,4,,,3.4,,60,0,
60,1,1,1,1,0,1,1,4,,,3.4,,60,0,1
60,,,0,1,0,0,0,0,,,3.4,,60,0,1
60,,,,1,0,2,0,0,,,3.4,,60,0,
60,,,,1,,,,,,,3.4,,60,0,
,,1,,,,,,,,,,,,,
60,,1,,1,2,1,1,1,0,,3.4,,60,0,
60,,1,,1,,,,,,,3.4,,60,0,
60,,,,1,,,,,,,3.4,,60,0,
60,,,,1,,,,,,,3.4,,60,0,
60,,,,1,,,,,,,3.4,,60,0,
60,1,1,,1,5,6,3,0,,0,3.4,20,60,0,1
60,,,,1,,,,,,,3.4,,60,0,
60,1,1,,1,5,2,3,4,,,3.4,,60,0,
,,,,,0,1,,,,,,,,,
60,,,,1,0,0,,0,,,3.4,,60,0,2
60,,,,1,0,1,1,4,,,3.4,,60,0,
60,1,1,,1,5,4,3,4,,,3.4,,60,0,
60,1,1,,1,2,0,0,3,,,3.4,,60,0,
60,1,1,,1,2,1,0,4,,,3.4,,60,0,
60,,,,1,1,4,0,4,,,3.4,,60,0,
60,1,1,,1,1,5,3,4,,,3.4,,60,0,
,,,,,,,0,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
60,,,,1,4,4,0,4,,,3.4,,60,0,
60,,,,1,,,0,1,,,3.4,,60,0,
,,,,,,,,,,,,,,,
60,1,1,,1,4,4,2,4,,,3.4,,60,0,
60,,,,1,0,1,0,0,,,3.4,,60,0,
60,,0,,1,,,0,,,,3.4,,60,0,
