pob,kids,married,fses,ynatstat,edarea,edachv,occ,school,relback,socbg,region,agejoin,cjoin,pljoin,risk
3.0,1,1,,1.0,,,0,4.0,2.0,,1.3,21.0,16.0,1.0,2.0
86.0,1,1,,1.0,2.0,2,0,4.0,2.0,1.0,1.3,26.0,1.0,1.0,2.0
132.0,,1,0,1.0,1.0,0,0,4.0,2.0,,1.3,47.0,24.0,1.0,2.0
3.0,0,0,1,1.0,1.0,1,0,4.0,2.0,1.0,1.3,31.0,24.0,1.0,2.0
3.0,0,0,1,1.0,,,,4.0,2.0,1.0,1.3,29.0,24.0,1.0,2.0
3.0,1,1,1,1.0,4.0,2,0,4.0,2.0,1.0,1.3,31.0,24.0,1.0,2.0
3.0,0,0,1,1.0,,,0,4.0,2.0,1.0,1.3,31.0,24.0,1.0,2.0
3.0,0,0,1,1.0,4.0,2,0,4.0,2.0,1.0,1.3,30.0,24.0,1.0,2.0
3.0,,,1,1.0,,2,0,4.0,2.0,1.0,1.3,32.0,24.0,1.0,2.0
3.0,0,0,1,1.0,,,1,4.0,2.0,1.0,1.3,31.0,24.0,1.0,2.0
3.0,0,0,1,1.0,4.0,4,0,4.0,2.0,1.0,1.3,31.0,137.0,1.0,2.0
3.0,1,1,1,1.0,4.0,2,0,4.0,2.0,0.0,1.3,26.0,136.0,1.0,1.0
3.0,,,1,1.0,,,,4.0,2.0,1.0,1.3,27.0,136.0,1.0,1.0
3.0,0,0,1,1.0,1.0,0,0,4.0,2.0,1.0,1.3,23.0,48.0,1.0,2.0
3.0,,,1,1.0,,,0,4.0,2.0,,1.3,25.0,3.0,0.0,2.0
3.0,0,0,1,1.0,4.0,2,0,4.0,2.0,0.0,1.3,21.0,136.0,1.0,2.0
47.0,,1,1,2.0,1.0,1,0,4.0,2.0,1.0,4.4,20.0,16.0,1.0,2.0
3.0,,,1,1.0,,,,4.0,2.0,,1.3,27.0,16.0,1.0,2.0
3.0,,1,1,1.0,4.0,2,0,4.0,2.0,,1.3,19.0,3.0,0.0,2.0
47.0,,1,0,2.0,5.0,3,0,4.0,2.0,,4.4,21.0,47.0,0.0,2.0
47.0,0,0,0,2.0,1.0,0,0,4.0,2.0,0.0,4.4,19.0,47.0,0.0,1.0
47.0,0,0,0,2.0,1.0,0,0,4.0,2.0,0.0,4.4,22.0,47.0,0.0,2.0
47.0,,,0,2.0,1.0,0,0,4.0,2.0,,4.4,25.0,47.0,0.0,2.0
41.0,,,1,1.0,,,,,2.0,,1.3,29.0,140.0,1.0,2.0
